city_id,city_name,sensor_id,parameter,date_local,hour_local,utc_from,local_from,avg,median,min,max,p25,p75,sd,coverage_pct,observed_minutes
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-28,14,2026-03-28T07:00:00Z,2026-03-28T14:00:00+07:00,30.2,30.2,30.2,30.2,30.2,30.2,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-28,14,2026-03-28T07:00:00Z,2026-03-28T14:00:00+07:00,29.5,29.5,29.5,29.5,29.5,29.5,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-28,15,2026-03-28T08:00:00Z,2026-03-28T15:00:00+07:00,25.4,25.4,25.4,25.4,25.4,25.4,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-28,15,2026-03-28T08:00:00Z,2026-03-28T15:00:00+07:00,26.5,26.5,26.5,26.5,26.5,26.5,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-28,16,2026-03-28T09:00:00Z,2026-03-28T16:00:00+07:00,26.3,26.3,26.3,26.3,26.3,26.3,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-28,16,2026-03-28T09:00:00Z,2026-03-28T16:00:00+07:00,25.8,25.8,25.8,25.8,25.8,25.8,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-28,17,2026-03-28T10:00:00Z,2026-03-28T17:00:00+07:00,29.4,29.4,29.4,29.4,29.4,29.4,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-28,17,2026-03-28T10:00:00Z,2026-03-28T17:00:00+07:00,29.9,29.9,29.9,29.9,29.9,29.9,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-28,18,2026-03-28T11:00:00Z,2026-03-28T18:00:00+07:00,33.1,33.1,33.1,33.1,33.1,33.1,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-28,18,2026-03-28T11:00:00Z,2026-03-28T18:00:00+07:00,32.1,32.1,32.1,32.1,32.1,32.1,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-28,19,2026-03-28T12:00:00Z,2026-03-28T19:00:00+07:00,35.6,35.6,35.6,35.6,35.6,35.6,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-28,19,2026-03-28T12:00:00Z,2026-03-28T19:00:00+07:00,33.1,33.1,33.1,33.1,33.1,33.1,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-28,20,2026-03-28T13:00:00Z,2026-03-28T20:00:00+07:00,35.4,35.4,35.4,35.4,35.4,35.4,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-28,20,2026-03-28T13:00:00Z,2026-03-28T20:00:00+07:00,33.2,33.2,33.2,33.2,33.2,33.2,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-28,21,2026-03-28T14:00:00Z,2026-03-28T21:00:00+07:00,36.8,36.8,36.8,36.8,36.8,36.8,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-28,21,2026-03-28T14:00:00Z,2026-03-28T21:00:00+07:00,34.3,34.3,34.3,34.3,34.3,34.3,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-28,22,2026-03-28T15:00:00Z,2026-03-28T22:00:00+07:00,37.8,37.8,37.8,37.8,37.8,37.8,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-28,22,2026-03-28T15:00:00Z,2026-03-28T22:00:00+07:00,35.0,35.0,35.0,35.0,35.0,35.0,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-28,23,2026-03-28T16:00:00Z,2026-03-28T23:00:00+07:00,36.6,36.6,36.6,36.6,36.6,36.6,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-28,23,2026-03-28T16:00:00Z,2026-03-28T23:00:00+07:00,34.0,34.0,34.0,34.0,34.0,34.0,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-29,0,2026-03-28T17:00:00Z,2026-03-29T00:00:00+07:00,38.3,38.3,38.3,38.3,38.3,38.3,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-29,0,2026-03-28T17:00:00Z,2026-03-29T00:00:00+07:00,35.2,35.2,35.2,35.2,35.2,35.2,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-29,1,2026-03-28T18:00:00Z,2026-03-29T01:00:00+07:00,38.3,38.3,38.3,38.3,38.3,38.3,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-29,1,2026-03-28T18:00:00Z,2026-03-29T01:00:00+07:00,34.6,34.6,34.6,34.6,34.6,34.6,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-29,2,2026-03-28T19:00:00Z,2026-03-29T02:00:00+07:00,36.2,36.2,36.2,36.2,36.2,36.2,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-29,2,2026-03-28T19:00:00Z,2026-03-29T02:00:00+07:00,33.2,33.2,33.2,33.2,33.2,33.2,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-29,3,2026-03-28T20:00:00Z,2026-03-29T03:00:00+07:00,35.4,35.4,35.4,35.4,35.4,35.4,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-29,3,2026-03-28T20:00:00Z,2026-03-29T03:00:00+07:00,32.3,32.3,32.3,32.3,32.3,32.3,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-29,4,2026-03-28T21:00:00Z,2026-03-29T04:00:00+07:00,35.7,35.7,35.7,35.7,35.7,35.7,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-29,4,2026-03-28T21:00:00Z,2026-03-29T04:00:00+07:00,33.1,33.1,33.1,33.1,33.1,33.1,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-29,5,2026-03-28T22:00:00Z,2026-03-29T05:00:00+07:00,38.7,38.7,38.7,38.7,38.7,38.7,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,11357424,pm25,2026-03-29,5,2026-03-28T22:00:00Z,2026-03-29T05:00:00+07:00,36.6,36.6,36.6,36.6,36.6,36.6,,100.0,1
ho-chi-minh-city,Ho Chi Minh City,15694534,pm25,2026-03-29,6,2026-03-28T23:00:00Z,2026-03-29T06:00:00+07:00,42.1,42.1,42.1,42.1,42.1,42.1,,100.0,1
